epoch,seconds,train_loss,train_cls_loss,train_reg_loss,train_aux_loss,selection_score,clean_accuracy,clean_macro_f1,clean_mae,clean_pearson,missing30_mean_macro_f1,missing30_mean_mae
1,11.571494817733765,1.4162471105005139,0.9591028489799143,0.3818841499981479,1.2636411178891904,0.4530638160521884,0.592032967032967,0.5116127398338257,0.6216220259666443,0.6150659254370205,0.5158639694621499,0.6185145633561271
2,22.40963363647461,1.2208189423953262,0.8400161656263833,0.29561896329728243,1.2025633972381877,0.48780727523510137,0.5521978021978022,0.550463162602645,0.6388813853263855,0.6293638998474631,0.5528232638381639,0.6402800168309893
3,33.174718379974365,1.1275150842755755,0.7762733720173346,0.2626678229213875,1.1758954346737014,0.5387987737135169,0.614010989010989,0.602870855843124,0.6079331040382385,0.6386168441116957,0.5981379896291587,0.610159592969077
4,44.06936955451965,1.0571564753478933,0.7282619604440493,0.23795081361710468,1.1544488484614364,0.5309049341297246,0.614010989010989,0.5849994942148563,0.6045491695404053,0.6454765951052611,0.5909762613558788,0.6072166051183429
5,54.87282133102417,0.9912725904277552,0.6869253649889866,0.21085547481741862,1.1305237440305336,0.5274138462327977,0.6057692307692307,0.5849228896287503,0.5813636183738708,0.646121245319929,0.5836476316016135,0.5885518363543919
6,65.6069278717041,0.9219622093940449,0.6348919765414479,0.1921383149434473,1.1113298607763844,0.5192098141669144,0.5989010989010989,0.580034563465648,0.5960814952850342,0.624556084883143,0.5779559245117111,0.5991893495832171
7,76.84092712402344,0.8316049464395113,0.5636201105385183,0.17208430338128705,1.0859783080136665,0.5004321547603061,0.6002747252747253,0.560367180323171,0.6070001721382141,0.6369671396496295,0.5613957586445528,0.6147489121982029
8,88.0641016960144,0.7791574859173498,0.5183963477611542,0.16539822490972894,1.0703546505108057,0.522609752588167,0.6167582417582418,0.5899950286855868,0.5994507670402527,0.6462952707088708,0.5821437219324729,0.6143155864306858
9,99.00175976753235,0.7325877758944146,0.478193802811275,0.1598259395110273,1.054443502537558,0.5268531112334707,0.6208791208791209,0.5976482386542412,0.5801531672477722,0.648204801832811,0.5819256188895875,0.5906407492501395
10,109.90499258041382,0.6640640388582354,0.42195988731963613,0.14712730816034514,1.0366858528039167,0.5090950504696383,0.6057692307692307,0.5843956975509624,0.601780354976654,0.626889956018041,0.5678422191522458,0.6108619911330087
