epoch,seconds,train_loss,train_cls_loss,train_reg_loss,train_aux_loss,selection_score,clean_accuracy,clean_macro_f1,clean_mae,clean_pearson,missing30_mean_macro_f1,missing30_mean_mae
1,11.841083526611328,1.4004037903848094,0.951144357708013,0.3730385079283581,1.2569051969831235,0.5179041212143283,0.6071428571428571,0.5773897139137144,0.602877676486969,0.635013882561744,0.5763688685293807,0.6006243739809308
2,22.9243586063385,1.2229455414219437,0.8433220213818773,0.2945100116221426,1.200129222647052,0.5299161257556193,0.5961538461538461,0.5985896867091661,0.5874239802360535,0.6543767690557016,0.5851831115547644,0.5942598751613072
3,34.053252935409546,1.1228766742153702,0.7776265924222001,0.2557703959015764,1.1719480669387032,0.5538949802134787,0.614010989010989,0.6076837913774247,0.573075532913208,0.6570843573428174,0.607306793437748,0.5730670094490051
4,45.06410360336304,1.0404707343778878,0.7205697841176363,0.2278111078123623,1.1471005193540984,0.5328574205883767,0.6112637362637363,0.6008866640065443,0.5937026143074036,0.6453663768716905,0.5895226288178288,0.5998743176460266
5,56.185418128967285,0.9982339255163603,0.6885501675516645,0.21699165204696566,1.1340869124804702,0.53891858861568,0.6387362637362637,0.6012443568426734,0.598173201084137,0.6369105669378327,0.5975923599739182,0.603988800730024
6,67.17269468307495,0.9237265993501539,0.63160579644631,0.19868783729377193,1.1097544375981125,0.5435976771582289,0.6373626373626373,0.6240129555115281,0.6017950773239136,0.6314365572844433,0.6029934488528159,0.6203760845320565
7,78.40362095832825,0.8432023770341249,0.5650817952423453,0.1840733449871295,1.0905158497462764,0.5248817447445753,0.603021978021978,0.5954287453449479,0.5795729160308838,0.6212838996341229,0.5808207322995421,0.5884169936180115
8,89.69258618354797,0.743835469829702,0.4886141330282265,0.15952435665041487,1.0633487361613836,0.5195476790885436,0.6195054945054945,0.5892839378293115,0.6279568672180176,0.6117647445560941,0.5838592331158398,0.6340195110866002
9,100.65797567367554,0.6959517046669933,0.44694746682577047,0.15443540106866963,1.0454659545533012,0.508584767848127,0.5879120879120879,0.5800281778134782,0.63480544090271,0.6098698655344139,0.5740121243263732,0.6404540964535305
10,111.67646503448486,0.6530199435269721,0.4145242311408587,0.1439883023082653,1.027542290286483,0.5056695255433274,0.6016483516483516,0.5798515087065039,0.6149587035179138,0.6116820357918068,0.5687170443888628,0.6292480911527362
