epoch,seconds,train_loss,train_cls_loss,train_reg_loss,train_aux_loss,selection_score,clean_accuracy,clean_macro_f1,clean_mae,clean_pearson,missing30_mean_macro_f1,missing30_mean_mae
1,11.966655969619751,1.4497714154074126,0.9704373178080977,0.4093906184501737,1.2651800067625314,0.49370048103569125,0.6222527472527473,0.5594856844811374,0.6502283811569214,0.5992431757727051,0.5599212734001168,0.6397167529378619
2,22.46231722831726,1.2381633620395838,0.8466795025584853,0.3083855706119092,1.2064616992094805,0.4835592634417443,0.603021978021978,0.5457975042787298,0.6315397024154663,0.654172539643968,0.5455273933143513,0.6282280002321515
3,32.994603872299194,1.1521542462233072,0.7907587841292408,0.27469908459999853,1.1803016194673341,0.5521678281349883,0.6346153846153846,0.6181991807293218,0.6286067962646484,0.6076583734410778,0.6169424897423517,0.6317240340369088
4,43.45600891113281,1.0645681391252535,0.740986341070906,0.23102684688066769,1.1563359855491424,0.5157246248626219,0.6236263736263736,0.584557965280826,0.6099478602409363,0.629810494556378,0.5762030956716195,0.6163779326847622
5,53.892922163009644,0.9912927412541113,0.6823309295088331,0.2164982804488913,1.1313598902426034,0.5206432931149296,0.5975274725274725,0.5803395379573381,0.5923833250999451,0.6275533531788607,0.5787309809262994,0.5951740060533796
6,64.3823070526123,0.9082913482300589,0.6248668025587206,0.18820304430533794,1.1071842379659136,0.5175667622450661,0.603021978021978,0.5746812827834508,0.6074625253677368,0.6147556538985458,0.5800850775883548,0.6136265993118286
7,74.91084432601929,0.8195985628065662,0.5531829105359372,0.17040201562030294,1.0841170148314716,0.4785973007980021,0.6181318681318682,0.5585702780023175,0.7043768167495728,0.6312296795207168,0.5527167132077377,0.706373257296426
8,85.2917115688324,0.7554410888212864,0.4980333453026887,0.16225840053825735,1.0633418693720738,0.5060027516811998,0.5947802197802198,0.5698482478678204,0.617676854133606,0.6178501191260626,0.5695683579250206,0.6263432502746582
9,95.63757610321045,0.697925870106599,0.4541904632454721,0.14797664961177054,1.0446173888500605,0.5005795477569379,0.5989010989010989,0.5707262868553191,0.6170652508735657,0.6153868852960369,0.5642399054495862,0.6307059015546527
10,106.24260759353638,0.6393302846177716,0.40384882033985353,0.14014277826542051,1.0280603655030793,0.4590547383675433,0.6153846153846154,0.5308136910544333,0.7009899616241455,0.6232366361566065,0.5341893522363329,0.7019940784999302
